Name;Wikipedia;m/w;Bereich;GSR;id;Twitter Verifiziert?;verified;followers_count;degree;betweenness;contribution_index;sentiment_avg;emotionality_avg;ego_art;ego_nudges;alter_art;alter_nudges;complexity_avg;betweenness_oscillation;Wikipedia_name;Backlinks;Links;Awards;Publications;Wikipedia_score_x;GSR_score;Wikipedia_score_y;Sentiment_score;Twitter_score;Thoughtleader_Score;class_labels
Mario Adorf;Mario Adorf;0.0;0.0;16500;635Adorf;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Mario Adorf;561.0;323.0;0.0;0.0;884.0;0.09747292418772563;0.1251238499646143;0.15610113610805915;0.0;0.09467447756509977;0
Markus Gabriel;Markus Gabriel;0.0;0.0;7460;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Markus Gabriel;50.0;92.0;0.0;7.0;1437.0;0.04397230277564065;0.20339702760084927;0.16248900361855909;0.0;0.10246458349876225;0
Melanie Brinkmann;Melanie Brinkmann;0.0;0.0;8510;BrinkmannLab;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Melanie Brinkmann;38.0;57.0;0.0;0.0;95.0;0.05018642362549565;0.013446567586694975;0.14872226529402577;0.06591514960242176;0.06956760152715954;0
Michael Roes;Michael Roes;0.0;0.0;677;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Michael Roes;57.0;57.0;0.0;2.0;484.0;0.0038290820855773214;0.06850672328379334;0.2;0.0;0.06808395134234267;0
Michael Zürn;Michael Zürn (Politikwissenschaftler);0.0;0.0;308;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Michael Zürn (Politikwissenschaftler);47.0;47.0;0.0;1.0;279.0;0.0016452624726282772;0.03949044585987261;0.18024355710842926;0.0;0.055344816360232536;0
Mirjam Fischer;Mirjam Fischer;0.0;0.0;509;Mirjam_Fischer;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Mirjam Fischer;11.0;13.0;0.0;0.0;24.0;0.002834822749600521;0.003397027600849257;0.2;0.9550762144723047;0.2903270162056886;1
Peter Sloterdijk;Peter Sloterdijk;0.0;0.0;20300;Sloterdijk_P;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Peter Sloterdijk;362.0;202.0;0.0;5.0;1489.0;0.11996212345386754;0.21075725406935597;0.17071269024381056;0.006935912991499805;0.12709199518963346;1
Peter Spork;Peter Spork;0.0;0.0;669;SporkPeter;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Peter Spork;20.0;48.0;0.0;1.0;253.0;0.0037817364029117595;0.03581033262561925;0.17177478025642615;0.27837252926222283;0.12243484463679499;1
Philipp Hübl;Philipp Hübl;0.0;0.0;651;PhilippHuebl;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Philipp Hübl;26.0;69.0;0.0;1.0;280.0;0.003675208616914245;0.039631988676574664;0.0;0.024806228807645363;0.017028356525283568;0
Pinar Atalay;Pinar Atalay;0.0;0.0;41800;PinarAtalay;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Pinar Atalay;62.0;47.0;0.0;0.0;109.0;0.24720364561756525;0.015428167020523709;0.16950311458738274;0.04647554316052131;0.11965261759649824;1
Natascha Hoffner;0;0.0;0.0;430;Natschi_Hoffner;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0023672841332780968;0.0;0.18178885438199982;0.0;0.04603903462881948;0
Natascha Strobl;Natascha Strobl;0.0;0.0;1880;Natascha_Strobl;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Natascha Strobl;41.0;95.0;0.0;1.0;321.0;0.010948689116411198;0.04543524416135881;0.1141778110071261;0.46218298276568265;0.15818618176264468;1
Norbert Gstrein;Norbert Gstrein;0.0;0.0;3730;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Norbert Gstrein;82.0;57.0;0.0;1.0;324.0;0.021897378232822395;0.045859872611464965;0.1598556516887079;0.0;0.056903225633248816;0
Oliver Welke;Oliver Welke;0.0;0.0;12400;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Oliver Welke;201.0;142.0;0.0;0.0;343.0;0.07320826182162514;0.04854918612880396;0.12790744696480588;0.0;0.06241622372880874;0
Richard David Precht;Richard David Precht;0.0;0.0;37300;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Richard David Precht;225.0;170.0;0.0;2.0;765.0;0.22057169911818666;0.10828025477707007;0.17096104115810407;0.0;0.1249532487633402;1
Sascha Lobo;Sascha Lobo;0.0;0.0;5480;saschalobo;ja;1;760903.0;5.356.495.468.277.940;62.823.856.128.765.500;-0.017643504531722053;0.4721253877957709;0.2350936494112889;1.003.911.100.281.540;1.198.392.059.919.090;12.257.070.380.556.900;12.126.110.941.171.600;9.450.831.734.130.850;13.547.400.611.620.700;Sascha Lobo;162.0;92.0;0.0;1.0;439.0;0.032254246315914066;0.06213729653220099;0.1490875191039547;0.3066355406359377;0.13752865064700187;1
Sophie Passmann;Sophie Passmann;0.0;0.0;7830;SophiePassmann;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Sophie Passmann;55.0;84.0;2.0;1.0;694.0;0.046162040598922885;0.09823071479122435;0.15559601901346837;0.10307659036103134;0.10076634119116173;0
Rezo;Rezo;0.0;0.0;169000;rezomusik;ja;1;468938.0;1.916.949.152.542.370;9.040.268.496.099.000;-0.10855932203389831;0.4189701887515627;0.22801891578196995;7.211.325.560.466.570;14.433.281.454.471.200;6.110.130.903.345.660;13.247.194.132.329.500;9.911.864.441.838.200;2.008.771.929.824.560;Rezo;124.0;327.0;0.0;0.0;451.0;1.0;0.06383581033262561;0.15138265684799332;0.22434979827224275;0.35989206636321536;1
