Name;GSR_score;Wikipedia_score;Sentiment_score;Twitter_score;Thoughtleader_Score;;Rank
Frank und Patrik Riklin;0.046413502109704644;0.021266540642722116;0.19053703654818951;0.025217889315551016;0.07085874215404182;;49
Elisabeth Bronfen;0.05446873801304181;0.09357277882797732;0.13342517130668743;0.0;0.07036667203692665;;50
Eva Presenhuber;0.07863444572305332;0.000945179584120983;0.2;0.0;0.06989490632679357;;51
Thomas Maissen;0.02504794783275796;0.08412098298676748;0.1661226898783959;0.0;0.06882290517448034;;52
Bice Curiger;0.033908707326428845;0.054820415879017016;0.18516049401500748;0.0;0.06847240430511334;;53
Melinda Nadj Abonji;0.04526275412351362;0.05623818525519849;0.16661564377575716;0.0;0.06702914578861732;;54
Michael Haefliger;0.014269275028768699;0.017013232514177693;0.18702484567313168;0.04383221075053961;0.06553489099165442;;55
Endo Anaconda;0.04449558879938627;0.0330812854442344;0.17782842712474617;0.0;0.0638513253420917;;56
Ruth Schweikert;0.023321825853471423;0.043478260869565216;0.18049867679474746;0.0;0.061824690879446025;;57
Manon;0.04909858074415036;0.01890359168241966;0.17730556902919917;0.0;0.0613269353639423;;58
Fanni Fetzer;0.01802838511699271;0.030718336483931945;0.19378296295691544;0.0;0.060632421139460026;;59
Katja Rost;0.018757192174913694;0.015122873345935728;0.14663586088771735;0.060571380551475616;0.0602718267400106;;60
Milena Moser;0.04181051016494054;0.027410207939508508;0.1707402267780855;0.0;0.05999023622063364;;61
Martin R. Dean;0.039892596854622174;0.03449905482041588;0.16032810438298617;0.0;0.058679939014506056;;62
Katja Gentinetta;0.015726889144610665;0.02551984877126654;0.17665275196191002;0.01659633624090157;0.0586239565296722;;63
Madeleine Schuppli;0.009973149213655544;0.021266540642722116;0.2;0.0;0.057809922464094415;;64
Jaques Herzog;0.0031070195627157654;0.2008506616257089;0.0;0.022444692142412983;0.05660059333270941;;65
Sylvie Fleury;0.17721518987341772;0.048204158790170135;0.0;0.0;0.05635483716589697;;66
Ueli Mäder;0.022247794399693134;0.02504725897920605;0.17754950975679643;0.0;0.056211140783923905;;67
Thomas Strässle;0.016187188339087073;0.036862003780718335;0.16784604989415153;0.0;0.055223810503489235;;68
Tom Fischer;0.00851553509781358;0.0330812854442344;0.1641583123951777;0.011753358367662161;0.054377122826221966;;69
Kathleen Bühler;0.014499424626006905;0.0;0.2;0.0;0.05362485615650173;;70
Christian Jott Jenny;0.028500191791331033;0.019376181474480152;0.16595601888227024;0.0;0.053458098037020355;;71
Anna Rosenwasser;0.04487917146144994;0.0;0.16635369526231578;0.0;0.05280821668094143;;72
Ludwig Hasler;0.016570771001150748;0.017485822306238186;0.1702418414526518;0.0;0.05107460869001018;;73
Katja Früh;0.01990794016110472;0.029773156899810964;0.14784322000295702;0.0;0.04938107926596817;;74
Peter von Matt;0.07825086306098965;0.11389413988657845;0.0;0.0;0.04803625073689202;;75
