Name,GSR_score,Wikipedia_score,Sentiment_score,Twitter_score,Thoughtleader_Score
Katja Früh,0.0030715511629283306,0.008917197452229299,0.14784322000295702,0.0,0.039957992154528665
Katja Gentinetta,0.002426466236610049,0.007643312101910828,0.17665275196191002,0.0076596744220771475,0.048595551180627014
Katja Rost,0.0028940048529324733,0.004529370134465676,0.14663586088771735,0.027955390128612822,0.04550365650093208
Knackeboul,0.010948689116411198,0.024628450106157114,0.15976440042576198,0.1339858354968267,0.08233184378628924
Lara Stoll,0.01568325738296739,0.02264685067232838,0.0,0.0,0.009582527013823942
Lena Lisa Wüstendörfer,0.002053618985618749,0.0,0.0,0.0,0.0005134047464046873
Lorenz Häberli,0.01621589631295496,0.012738853503184714,0.0,0.0025686720946065215,0.00788085547768655
Luc Oggier (von Lu & Leduc),0.01621589631295496,0.012738853503184714,0.0,0.0025686720946065215,0.00788085547768655
Ludwig Hasler,0.0025566668639403446,0.005237084217975938,0.1702418414526518,0.0,0.044508898133642026
Lukas Bärfuss,0.023672841332780966,0.06850672328379334,0.15862331367880167,0.0,0.06270071957384399
Madeleine Schuppli,0.0015387346866307628,0.006227883934890304,0.2,0.0,0.05194165465538027
MaiThu Perret,0.010120139669763863,0.0,0.0,0.0,0.0025300349174409657
Manon,0.00757530922648991,0.005661712668082095,0.17730556902919917,0.0,0.047635647730942796
Manuel Stahlberger,0.006391667159850861,0.012738853503184714,0.1592190046219458,0.0,0.044587381321245345
Mario Botta,0.15428774338639994,0.04331210191082802,0.18473543609447576,0.0,0.09558382034792592
Marisa Godoy,0.0012013966976386341,0.0,0.0,0.0,0.00030034917440965853
Marko Kovic,0.001319760904302539,0.0,0.15926739846410892,0.0076572508403812455,0.04206110255219818
Martin Meyer,0.08800378765461324,0.011748053786270347,0.16648757234433872,0.0,0.06655985344630558
Martin R. Dean,0.006154938746523051,0.010332625619249823,0.16032810438298617,0.0,0.04420391718718976
Melinda Nadj Abonji,0.0069834881931703854,0.016843595187544233,0.16661564377575716,0.0,0.047610681789117947
Michael Haefliger,0.00220157424394863,0.005095541401273885,0.18702484567313168,0.02022979401451104,0.05363793883321631
Mickry 3,0.0011126235426407055,0.0,0.0,0.0,0.00027815588566017636
Milena Moser,0.006450849263182814,0.008209483368719038,0.1707402267780855,0.0,0.04635013985249684
Milo Rau,0.06196366218855418,0.0953998584571833,0.17491413999784713,0.0,0.08306941516089615
Miriam Cahn,0.02473811919275611,0.017834394904458598,0.16372599488848896,0.0,0.05157462724642592
Miriam Meckel,0.01053441439308753,0.02335456475583864,0.1829754023805125,0.07964885125656272,0.07412830819650035
Oliver Bendel,0.004119074391903888,0.006652512384996461,0.1,0.0,0.02769289669422509
Patricia Kopatchinskaja ,0.057169911818666035,0.03581033262561925,0.0,0.00232693895139989,0.023826795848921296
Patrick Rohr,0.008167130259809434,0.014720452937013446,0.15921415826525998,0.007778188606479351,0.04746998251714055
Patti Basler,0.010179321773095816,0.006086341118188252,0.14547722557505166,0.0766899757326085,0.059608216049736054
Peach Weber,0.02254838136947387,0.012880396319886765,0.1651019455734393,0.0021844644884132184,0.050678796937803285
Pedro Lenz,0.02491566550275197,0.030148619957537155,0.16954302369441598,0.0,0.05615182728867628
Peter Bichsel,0.014973072142983962,0.04727530077848549,0.16644926674379928,0.0,0.057174409916317184
