,Name,Wikipedia,m/w,Bereich,GSR,id,Twitter Verifiziert?,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,verified,followers_count,degree,betweenness,contribution_index,sentiment_avg,emotionality_avg,ego_art,ego_nudges,alter_art,alter_nudges,complexity_avg,betweenness_oscillation,Wikipedia_name,Backlinks,Links,Awards,Publications,Wikipedia_score_x,GSR_score,Wikipedia_score_y,Sentiment_score,Twitter_score,Thoughtleader_Score,class_labels
27,Mai Thi Nguyen-Kim,Mai Thi Nguyen-Kim,0.0,0.0,13100,maithi_nk,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mai Thi Nguyen-Kim,139.0,99.0,9.0,2.0,0.10596781085315482,0.12845173764315107,0.10596781085315482,0.7948814638420844,0.0,0.2573252530845976,0
28,Maja Göpel,Maja Göpel,0.0,0.0,5110,beyond_ideology,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74039.0,25.75,348.5,-0.13333333333333333,0.4181239173230819,0.22959774573260835,7.93919146780303,1.198782053860751,7.226142007575757,1.3935817859389565,9.478794297662505,2.125,Maja Göpel,44.0,93.0,0.0,1.0,0.020367469021506907,0.04922909126964454,0.020367469021506907,0.0,0.060167975879853126,0.03244113404275114,0
29,Malcolm Ohanwe,Malcolm Ohanwe,0.0,0.0,2100,MalcolmOhanwe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malcolm Ohanwe,25.0,114.0,13.0,6.0,0.1488391966956274,0.019384264538198404,0.1488391966956274,0.7860555127546399,0.0,0.23856974349711643,0
30,Marietta Slomka,Marietta Slomka,0.0,0.0,7100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marietta Slomka,75.0,55.0,0.0,0.0,0.012248967383563595,0.06896038867681324,0.012248967383563595,0.6036391455664305,0.0,0.17121212540670183,0
31,Mario Adorf,Mario Adorf,0.0,0.0,16500,635Adorf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario Adorf,561.0,323.0,0.0,0.0,0.11964107676969092,0.16216350205740915,0.11964107676969092,0.7805056805402957,0.0,0.2655775648418489,0
32,Markus Gabriel,Markus Gabriel,0.0,0.0,7460,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Markus Gabriel,50.0,89.0,0.0,6.0,0.05625979205241419,0.07252986961479352,0.05625979205241419,0.8124450180927955,0.0,0.2353086699400008,0
33,Melanie Brinkmann,Melanie Brinkmann,0.0,0.0,8510,BrinkmannLab,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Melanie Brinkmann,38.0,57.0,0.0,0.0,0.007263922518159807,0.08294085568390264,0.007263922518159807,0.7436113264701288,0.06211958114814224,0.22398392145508336,0
34,Michael Roes,Michael Roes,0.0,0.0,677,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Roes,57.0,57.0,0.0,2.0,0.024213075060532687,0.005274899608348619,0.024213075060532687,1.0,0.0,0.2573719936672203,0
35,Michael Zürn,Michael Zürn (Politikwissenschaftler),0.0,0.0,308,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Zürn (Politikwissenschaftler),47.0,47.0,0.0,1.0,0.01424298532972511,0.001616181646918844,0.01424298532972511,0.9012177855421464,0.0,0.22926923812969757,0
36,Peter Sloterdijk,Peter Sloterdijk,0.0,0.0,20300,Sloterdijk_P,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter Sloterdijk,362.0,202.0,0.0,5.0,0.10967098703888335,0.19984135640275644,0.10967098703888335,0.8535634512190527,0.0,0.2907689486651731,1
37,Peter Spork,Peter Spork,0.0,0.0,669,SporkPeter,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter Spork,20.0,48.0,0.0,1.0,0.010539809143996581,0.005195577809726836,0.010539809143996581,0.8588739012821307,0.0,0.21865232205896354,0
38,Philipp Hübl,Philipp Hübl,0.0,0.0,651,PhilippHuebl,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philipp Hübl,26.0,69.0,0.0,1.0,0.014385415183022362,0.005017103762827822,0.014385415183022362,0.0,0.0,0.004850629736462546,0
39,Pinar Atalay,Pinar Atalay,0.0,0.0,41800,PinarAtalay,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinar Atalay,63.0,47.0,0.0,0.0,0.009400370317618574,0.4130186901988003,0.009400370317618574,0.8475155729369137,0.0,0.31748365836333314,1
