,Name,m/w,Bereich,Wikipedia,id,Twitter Verifiziert?,GSR,Unnamed: 7,verified,followers_count,degree,betweenness,contribution_index,sentiment_avg,emotionality_avg,ego_art,ego_nudges,alter_art,alter_nudges,complexity_avg,betweenness_oscillation,Wikipedia_name,Backlinks,Links,Awards,Publications,Wikipedia_score_x,GSR_score,Wikipedia_score_y,Sentiment_score,Twitter_score,Thoughtleader_Score,class_labels
10,Bice Curiger,w,Kunst,Bice Curiger,0,0,914,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bice Curiger,40.0,76.0,0.0,0.0,0.12874583795782463,0.033908707326428845,0.12874583795782463,0.9258024700750374,0.0,0.2721142538398227,0
11,Big Zis aka Franziska Schläpfer,w,Musik,Big Zis,0,0,1020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Big Zis,31.0,40.0,2.0,1.0,0.24528301886792453,0.0379746835443038,0.24528301886792453,0.0,0.0,0.07081442560305708,0
12,Boris Blank,m,Musik,Boris Blank (Musiker),0,0,3530,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boris Blank (Musiker),18.0,21.0,0.0,0.0,0.04328523862375139,0.13425393172228614,0.04328523862375139,0.8801934493427831,0.0,0.26443315492220515,0
13,Charles Lewinsky,m,Literatur,Charles Lewinsky,0,0,2660,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Charles Lewinsky,93.0,62.0,0.0,2.0,0.2830188679245283,0.10088224012274645,0.2830188679245283,0.0,0.0,0.09597527701181868,0
14,Chris von Rohr,m,Musik,Chris von Rohr,0,0,3860,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris von Rohr,92.0,130.0,0.0,0.0,0.24639289678135406,0.14691215957038742,0.24639289678135406,0.8581616290422992,0.0,0.3128666713485102,0
15,Christian Jott Jenny,m,Musik,Christian Jott Jenny,0,0,773,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christian Jott Jenny,8.0,34.0,0.0,0.0,0.04661487236403995,0.028500191791331033,0.04661487236403995,0.8297800944113513,0.0,0.22622378964168055,0
16,ChristophMathias Müller,m,Musik,ChristophMathias Mueller,cmu1001,0,339,0,0,29.0,5.545454545454546,26.636363636363637,0.0,0.7068882495362424,0.27971464787242994,2.428218954248366,1.1862745144787956,7.83906984375,1.3697916716337204,6.159891053040822,1.3333333333333333,ChristophMathias Mueller,0.0,0.0,0.0,0.0,0.0,0.011852704257767549,0.0,0.0,0.0037203354959213226,0.003893259938422218,0
17,Christoph RehmannSuter,m,Philosophie,Christoph RehmannSutter,0,0,315,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christoph RehmannSutter,0.0,0.0,0.0,0.0,0.0,0.01093210586881473,0.0,0.0,0.0,0.0027330264672036824,0
18,Claudia Honegger,w,Soziologie,Claudia Honegger,0,0,161,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claudia Honegger,20.0,56.0,0.0,0.0,0.08435072142064373,0.005024932873034139,0.08435072142064373,0.0,0.0,0.022343913573419468,0
19,Daniel Ryser,m,Literatur,Daniel Ryser,dnlrysr,0,93,0,0,2539.0,28.8,4412.071068931063,-0.203,0.32124570741891656,0.2549833373951428,2.7174115190972223,1.3048103228211403,2.757799375,1.2989874184131622,8.286428769979917,0.5,Daniel Ryser,29.0,41.0,0.0,0.0,0.07769145394006659,0.0024165707710011508,0.07769145394006659,0.5293271608466013,0.38683078395346715,0.24906649237778403,0
20,David Bosshardt,m,Philosophie,David Bosshart,0,0,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Bosshart,11.0,13.0,0.0,0.0,0.026637069922308545,0.0,0.026637069922308545,0.0,0.0,0.006659267480577136,0
21,Dieter Meier,m,Musik,Dieter Meier,yello_official,0,3350,0,0,509.0,5.642857142857143,32.214285714285715,-0.08571428571428572,0.7043871402931519,0.27444058284163475,11.049328666666668,1.05,10.468312762345677,1.148148152563307,6.037026830208608,2.5,Dieter Meier,97.0,103.0,0.0,0.0,0.22197558268590456,0.12734944380514002,0.22197558268590456,0.8758143883459516,0.0046985044419181905,0.3074594798197286,0
22,Dirk Helbing,m,Soziologie,Dirk Helbing,DirkHelbing,0,2410,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dirk Helbing,25.0,54.0,0.0,0.0,0.0876803551609323,0.09129267357115459,0.0876803551609323,0.6076794919243113,0.058333035818380195,0.2112463891186946,0
23,Eduard Käser,m,Philosophie,Eduard Kaeser,0,0,980,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eduard Kaeser,24.0,32.0,0.0,0.0,0.06215316315205328,0.0364403528960491,0.06215316315205328,0.0,0.0,0.024648379012025594,0
24,Elisabeth Bronfen,w,Literatur,Elisabeth Bronfen,0,0,1450,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elisabeth Bronfen,76.0,122.0,0.0,0.0,0.21975582685904552,0.05446873801304181,0.21975582685904552,0.6671258565334371,0.0,0.23533760535138112,0
25,Endo Anaconda,m,Musik,Endo Anaconda,0,0,1190,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Endo Anaconda,27.0,43.0,0.0,0.0,0.07769145394006659,0.04449558879938627,0.07769145394006659,0.8891421356237309,0.0,0.2528322945907959,0
26,Eva Presenhuber,w,Kunst,Eva Presenhuber,0,0,2080,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eva Presenhuber,2.0,0.0,0.0,0.0,0.0022197558268590455,0.07863444572305332,0.0022197558268590455,1.0,0.0,0.2702135503874781,0
27,Fanni Fetzer,w,Kunst,Fanni Fetzer,0,0,500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fanni Fetzer,9.0,56.0,0.0,0.0,0.07214206437291898,0.01802838511699271,0.07214206437291898,0.9689148147845772,0.0,0.2647713160686222,0
28,Franco Ambrosetti,m,Musik,Franco Ambrosetti,0,0,2750,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Franco Ambrosetti,119.0,101.0,0.0,1.0,0.29966703662597116,0.10433448408131953,0.29966703662597116,0.8836602540378444,0.0,0.3219154436862838,0
29,Frank und Patrik Riklin,m,Kunst,Atelier für Sonderaufgaben,sonderaufgaben,0,1240,0,0,642.0,8.416666666666666,263.92118055555557,0.0,0.5460754982595513,0.23196765146413018,8.088357649997507,1.2713587684709518,8.557050630184673,1.2563432410247344,8.796063709962393,1.75,Atelier für Sonderaufgaben,6.0,39.0,0.0,0.0,0.049944506104328525,0.046413502109704644,0.049944506104328525,0.9526851827409476,0.025217889315551016,0.268565270067633,0
30,Güzin Kar,w,Film,Güzin Kar,Guzinkar,0,3700,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Güzin Kar,54.0,36.0,0.0,1.0,0.15538290788013318,0.14077483697736862,0.15538290788013318,0.8766048569251701,0.23225680791660136,0.3512548524248183,1
31,Hazel Brugger,w,Komiker,Hazel Brugger,hazelbrugger,ja,13900,0,1,310710.0,6.350710900473934,141.0448619574212,-0.02867298578199052,0.5162605598228305,0.22107261264188235,10.762295715015552,1.2770935448753091,13.944308718971628,1.2695446765803275,9.009502442044534,1.7246376811594204,Hazel Brugger,65.0,77.0,2.0,3.0,0.43507214206437295,0.5320291522823168,0.43507214206437295,0.8432970510490547,0.28229678133653535,0.5231737816830699,1
32,Irena Brezna,w,Literatur,Irena Brežná,0,0,762,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Irena Brežná,21.0,34.0,0.0,0.0,0.06104328523862375,0.02807825086306099,0.06104328523862375,0.0,0.0,0.022280384025421186,0
33,Jacqueline Burkhardt,w,Kunst,Jacqueline Burckhardt,0,0,227,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jacqueline Burckhardt,19.0,64.0,0.0,0.0,0.09211986681465038,0.007556578442654392,0.09211986681465038,0.0,0.0,0.024919111314326194,0
34,Jaques Herzog,m,Architektur,Herzog & de Meuron,HerzogdeMeuron,0,111,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herzog & de Meuron,249.0,176.0,0.0,0.0,0.4716981132075472,0.0031070195627157654,0.4716981132075472,0.0,0.022444692142412983,0.12431245622816897,0
35,Jean Ziegler,m,Soziologie,Jean Ziegler,0,0,8780,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean Ziegler,238.0,165.0,0.0,1.0,0.5027746947835738,0.33563482930571537,0.5027746947835738,0.7876513228721654,0.0,0.40651521174036365,1
36,Jessica Jurassica,w,Musik,0,sickbutsocial,0,1520,0,0,1942.0,14.69767441860465,1557.5500000000002,-0.00372093023255814,0.37537147327131776,0.23853387739162282,2.183065939899503,1.2905134573215389,2.316278742232281,1.3152827379249392,9.505793049247245,2.1025641025641026,0,0.0,0.0,0.0,0.0,0.0,0.05715381664748753,0.0,0.8093647677210297,0.1387704277977846,0.25132225304157546,0
37,Jonas Lüscher,m,Literatur,Jonas Lüscher,0,0,1420,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jonas Lüscher,45.0,67.0,0.0,2.0,0.23529411764705882,0.05331799002685079,0.23529411764705882,0.8673950862837392,0.0,0.2890017984894122,0
38,Jörg Scheller,m,Kunst,Jörg Scheller,joergscheller1,0,8400,0,0,4140.0,24.96,4243.691959318458,-0.5144,0.32095538034386456,0.22671607290992646,2.007401597360009,1.1277077160184343,2.5057618712515786,1.2518172277645632,9.59321828767752,0.45652173913043476,Jörg Scheller,43.0,74.0,0.0,4.0,0.3518312985571587,0.32105868814729577,0.3518312985571587,0.7998847876177115,0.3734428305377502,0.46155440121497904,1
39,Jürg Halter,m,Literatur,Jürg Halter,halterjuerg,0,1460,0,0,5807.0,8.025773195876289,335.62373575736973,-0.006701030927835054,0.41235792572729435,0.2262693524282998,12.115589937463636,1.3163011462588585,8.627734620428047,1.3054709015665829,9.70543141933975,1.9473684210526316,Jürg Halter,33.0,45.0,0.0,1.0,0.14206437291897892,0.05485232067510549,0.14206437291897892,0.8043888155964717,0.03591508721224963,0.2593051491007014,0
40,Kathleen Bühler,w,Kunst,0,0,0,408,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.014499424626006905,0.0,1.0,0.0,0.2536248561565017,0
41,Katja Früh,w,Theater,Katja Früh,0,0,549,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Katja Früh,29.0,34.0,0.0,0.0,0.06992230854605994,0.01990794016110472,0.06992230854605994,0.7392161000147851,0.0,0.20726158718048743,0
42,Katja Gentinetta,w,Philosophie,Katja Gentinetta,KGentinetta,0,440,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Katja Gentinetta,16.0,38.0,0.0,0.0,0.05993340732519423,0.015726889144610665,0.05993340732519423,0.8832637598095501,0.01659633624090157,0.24388009813006414,0
43,Katja Rost,w,Soziologie,Katja Rost,katja_rost,0,519,0,0,515.0,10.18421052631579,672.7232456140352,-0.0009210526315789475,0.5250684071185767,0.2301123750569552,11.173261466455395,1.2861334585091646,10.789703703792732,1.2813972748242892,8.803116624625497,1.7777777777777777,Katja Rost,6.0,26.0,0.0,0.0,0.03551609322974473,0.018757192174913694,0.03551609322974473,0.7331793044385867,0.060571380551475616,0.2120059925986802,0
44,Knackeboul,m,Musik,Knackeboul,Knackeboul,0,1880,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Knackeboul,38.0,36.0,0.0,2.0,0.19311875693673697,0.07096279248177982,0.19311875693673697,0.7988220021288099,0.29030920309279223,0.3383031886600298,1
45,Lara Stoll,w,Satire,Lara Stoll,0,0,2680,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lara Stoll,23.0,37.0,1.0,1.0,0.17758046614872364,0.1016494054468738,0.17758046614872364,0.0,0.0,0.06980746789889936,0
46,Lena Lisa Wüstendörfer,w,Musik,LenaLisa Wüstendörfer,0,0,377,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LenaLisa Wüstendörfer,0.0,0.0,0.0,0.0,0.0,0.013310318373609513,0.0,0.0,0.0,0.0033275795934023782,0
47,Lorenz Häberli,m,Musik,Lo & Leduc,LoLeduc,0,2770,"(für ""Lo & Leduc"", sonst 140)",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lo & Leduc,56.0,34.0,0.0,0.0,0.09988901220865705,0.10510164940544688,0.09988901220865705,0.0,0.0055655819589196355,0.05263906089325589,0
48,Lorenz Häberli,m,Musik,Lo & Leduc,LoLeduc,0,2770,"(für ""Lo & Leduc"", sonst 140)",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lo & Leduc,56.0,34.0,0.0,0.0,0.09988901220865705,0.10510164940544688,0.09988901220865705,0.0,0.0055655819589196355,0.05263906089325589,0
49,Luc Oggier (von Lu & Leduc),m,Musik,Lo & Leduc,LoLeduc,0,2770,"(für ""Lo & Leduc"", sonst 140)",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lo & Leduc,56.0,34.0,0.0,0.0,0.09988901220865705,0.10510164940544688,0.09988901220865705,0.0,0.0055655819589196355,0.05263906089325589,0
50,Luc Oggier (von Lu & Leduc),m,Musik,Lo & Leduc,LoLeduc,0,2770,"(für ""Lo & Leduc"", sonst 140)",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lo & Leduc,56.0,34.0,0.0,0.0,0.09988901220865705,0.10510164940544688,0.09988901220865705,0.0,0.0055655819589196355,0.05263906089325589,0
51,Ludwig Hasler,m,Philosophie,Ludwig Hasler,LudwigHasler,0,462,Hat noch nichts getwittert!,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ludwig Hasler,10.0,27.0,0.0,0.0,0.041065482796892344,0.016570771001150748,0.041065482796892344,0.8512092072632591,0.0,0.22721136526532554,0
52,Lukas Bärfuss,m,Literatur,Lukas Bärfuss,0,0,4030,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lukas Bärfuss,164.0,120.0,0.0,4.0,0.537180910099889,0.1534330648254699,0.537180910099889,0.7931165683940083,0.0,0.3709326358298418,1
53,Madeleine Schuppli,w,Kunst,Madeleine Schuppli,0,0,290,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Madeleine Schuppli,8.0,36.0,0.0,0.0,0.048834628190899,0.009973149213655544,0.048834628190899,1.0,0.0,0.26470194435113864,0
54,MaiThu Perret,w,Kunst,0,0,0,1740,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06559263521288838,0.0,0.0,0.0,0.016398158803222096,0
