Source;Target;RawCount;Type;Weight
Marie Lois;Yulia Kubik Hans;1;Undirected;0.0016260162601626016
Adrian Bleisch;Nbg Ragaz;1;Undirected;0.0016260162601626016
Adrian Bleisch;Fukushima Daiichi;1;Undirected;0.0016260162601626016
Jennifer Panara;Johns Sarastro Fdb;1;Undirected;0.0016260162601626016
Alain Berset;Rusch Rusch;1;Undirected;0.0016260162601626016
Fukushima Daiichi;Jungautorin Luna Levey;1;Undirected;0.0016260162601626016
Adolf Dietrich;Johann Sebastian Bach;1;Undirected;0.0016260162601626016
Ausnahmesportlerssimon Ammann;Isabelle Vonlanthen;1;Undirected;0.0016260162601626016
Nobel Peter;Stefan Wagner;1;Undirected;0.0016260162601626016
Nbg Ragaz;Ueli Maurer;1;Undirected;0.0016260162601626016
Bruno Walpoth;Kunstvermittlerin Christine Stalder;1;Undirected;0.0016260162601626016
Andrea Stalder Projektkandidat;Politaktivist Hans;1;Undirected;0.0016260162601626016
Kunstvermittlerin Christine Stalder;Stefan Altenburger;1;Undirected;0.0016260162601626016
Kriegsfotograf Dominic Nahr;Luna Levay;1;Undirected;0.0016260162601626016
Adolf Dietrich;Shea Owens;1;Undirected;0.0016260162601626016
Franz Xaver;Politaktivist Hans;1;Undirected;0.0016260162601626016
Sandra Ardizzone;Zurich Wiedikon;1;Undirected;0.0016260162601626016
Cabo Verdean;Laurence Rastis;1;Undirected;0.0016260162601626016
Jungautorin Luna Levey;Miho Tanaka;1;Undirected;0.0016260162601626016
Ausnahmesportlerssimon Ammann;Johns Sarastro Fdb;1;Undirected;0.0016260162601626016
Kunstvermittlerin Christine Stalder;Stefan Wagner;1;Undirected;0.0016260162601626016
Politaktivist Hans;Youtube Berman;1;Undirected;0.0016260162601626016
Alain Berset;Annina Haab;1;Undirected;0.0016260162601626016
Kriegsfotograf Dominic Nahr;Miho Tanaka;1;Undirected;0.0016260162601626016
Bob Dylan;Limmat Verlag;1;Undirected;0.0016260162601626016
Luna Levay;Shea Owens;1;Undirected;0.0016260162601626016
John Sarastro;Kriegsfotograf Dominic Nahr;1;Undirected;0.0016260162601626016
Pascal Leuthold;Sophia Hamann;1;Undirected;0.0016260162601626016
Josef Manser;Thurgau Violonistin;1;Undirected;0.0016260162601626016
Ausnahmesportlerssimon Ammann;Johann Sebastian Bach;1;Undirected;0.0016260162601626016
Louis Girardelli;Luna Levay;1;Undirected;0.0016260162601626016
Politaktivist Hans;Roland Schmid;1;Undirected;0.0016260162601626016
Dominic Nahr;Miho Tanaka;1;Undirected;0.0016260162601626016
Christoph Keller;Yulia Kubik Hans;1;Undirected;0.0016260162601626016
Josef Manser;Nobel Peter;1;Undirected;0.0016260162601626016
Limmat Verlag;Reynaldo Hahn;1;Undirected;0.0016260162601626016
Ausnahmesportlerssimon Ammann;Dominic Nahr;1;Undirected;0.0016260162601626016
Limmat Verlag;Nobel Peter;1;Undirected;0.0016260162601626016
Stefan Wagner;Youtube Berman;1;Undirected;0.0016260162601626016
Dominic Nahr;Willi Toblers;1;Undirected;0.0016260162601626016
Beatproduzent Johns Sarastro;Literaturhauses Zurich;1;Undirected;0.0016260162601626016
Adolf Dietrichs;Beatproduzent Johns Sarastro;1;Undirected;0.0016260162601626016
George Friedrich Handel;Moritz Young;1;Undirected;0.0016260162601626016
Fukushima Daiichi;Josef Manser;1;Undirected;0.0016260162601626016
Jennifer Panara;Pascal Leuthold;1;Undirected;0.0016260162601626016
Chopin John;Lausanne Sylvie;1;Undirected;0.0016260162601626016
Andrea Stalder Projektkandidat;Augustin Jagg;1;Undirected;0.0016260162601626016
Nbg Ragaz;Yulia Kubik;1;Undirected;0.0016260162601626016
Ilia Vasella;Rudolf Lutz;1;Undirected;0.0016260162601626016
Canton Zurich;Peter Bcker;1;Undirected;0.0016260162601626016
Bruno Walpoth;Tobias Garcia;1;Undirected;0.0016260162601626016
Bob Dylan;Heiderose Hildebrand;1;Undirected;0.0016260162601626016
Kim Kardashians;Stefan Altenburger;1;Undirected;0.0016260162601626016
Reynaldo Hahn;Yulia Kubik;1;Undirected;0.0016260162601626016
Miho Tanaka;Ueli Maurer;1;Undirected;0.0016260162601626016
Jungautorin Luna Levey;Nbg Ragaz;1;Undirected;0.0016260162601626016
Gianfranco Fdb;Kunstvermittlerin Susanne;1;Undirected;0.0016260162601626016
